Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2020-044620,1.26E+10,02/05/2020 10:10:00 AM,,02/05/2020 11:24:31 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,W,Q,Q1,MAGNOLIA,32XX BLOCK OF 23RD AVE W,-122.38597,47.6493872
2020-044452,1.26E+10,02/03/2020 8:00:00 AM,02/04/2020 8:00:00 AM,02/05/2020 10:06:28 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,J,J3,ROOSEVELT/RAVENNA,63XX BLOCK OF 5TH AVE NE,-122.3234,47.6751179
2020-044465,1.26E+10,02/02/2020 8:30:00 PM,02/02/2020 9:30:00 PM,02/05/2020 9:39:33 AM,A,PROPERTY,ROBBERY,Robbery,120,N,U,U3,ROOSEVELT/RAVENNA,26TH AVE NE / NE BLAKELEY ST,-122.29955,47.6663841
2020-044225,1.26E+10,02/05/2020 1:17:00 AM,02/05/2020 2:21:00 AM,02/05/2020 3:30:55 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,Q,Q1,MAGNOLIA,22XX BLOCK OF W RAYE ST,-122.38486,47.6429273
2020-044076,1.26E+10,02/05/2020 12:51:21 AM,,02/05/2020 12:51:31 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,B,B2,BALLARD SOUTH,NW 46TH ST / 8TH AVE NW,-122.3662,47.6621931
2020-044142,1.26E+10,02/04/2020 10:59:00 PM,,02/05/2020 12:45:08 AM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M1,DOWNTOWN COMMERCIAL,14XX BLOCK OF 2ND AVE,-122.33845,47.6087887
2020-044104,1.26E+10,02/04/2020 8:30:00 PM,02/04/2020 8:45:00 PM,02/04/2020 11:31:52 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,J,J3,PHINNEY RIDGE,71XX BLOCK OF GREENWOOD AVE N,-122.35531,47.680527
2020-043988,1.26E+10,02/04/2020 7:58:00 PM,,02/04/2020 10:46:19 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,26XX BLOCK OF SW BARTON ST,-122.36731,47.5210276
2020-043928,1.26E+10,02/04/2020 7:01:00 PM,,02/04/2020 9:59:07 PM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,L,L2,NORTHGATE,15TH AVE NE / NE 95TH ST,-122.31208,47.6976162
2020-044065,1.26E+10,02/04/2020 9:00:00 PM,02/04/2020 9:15:00 PM,02/04/2020 9:47:32 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E2,CAPITOL HILL,15XX BLOCK OF 12TH AVE,-122.31685,47.6146839
2020-044038,1.26E+10,02/04/2020 8:57:00 PM,,02/04/2020 9:20:35 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,E,E,E2,CAPITOL HILL,15XX BLOCK OF BROADWAY,-122.32079,47.6146555
2020-043971,1.26E+10,02/04/2019 12:00:00 AM,02/04/2020 8:00:00 AM,02/04/2020 9:18:52 PM,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,N,U,U2,UNIVERSITY,45XX BLOCK OF 7TH AVE NE,-122.32072,47.6624734
2020-043805,1.26E+10,01/30/2020 7:30:00 PM,,02/04/2020 9:14:00 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,S,R,R3,COLUMBIA CITY,,0,0
2020-043805,1.26E+10,01/30/2020 7:30:00 PM,,02/04/2020 9:14:00 PM,A,PERSON,KIDNAPPING/ABDUCTION,Kidnapping/Abduction,100,S,R,R3,COLUMBIA CITY,,0,0
2020-043518,1.26E+10,02/04/2020 7:30:00 AM,02/04/2020 10:00:00 AM,02/04/2020 8:59:01 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,R,R1,NORTH BEACON HILL,19XX BLOCK OF 13TH AVE S,-122.31598,47.5859559
2020-044000,1.26E+10,02/04/2020 8:10:00 PM,02/04/2020 8:39:00 PM,02/04/2020 8:30:24 PM,A,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery,250,E,E,E1,CAPITOL HILL,1XX BLOCK OF BROADWAY E,-122.32086,47.6193236
2020-043979,1.26E+10,02/04/2020 7:30:00 PM,,02/04/2020 8:13:42 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E2,FIRST HILL,E SPRING ST / 12TH AVE,-122.31678,47.6115627
2020-043804,1.26E+10,01/31/2020 11:00:00 AM,02/04/2020 4:00:00 PM,02/04/2020 6:04:43 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O3,GEORGETOWN,67XX BLOCK OF CORSON AVE S,-122.32291,47.5429406
2020-043679,1.26E+10,02/04/2020 3:28:00 PM,,02/04/2020 5:53:30 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U2,UNIVERSITY,45XX BLOCK OF UNIVERSITY WAY NE,-122.31312,47.6621806
2020-043813,1.26E+10,02/03/2020 8:00:00 AM,02/04/2020 4:30:00 PM,02/04/2020 5:51:43 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,QUEEN ANNE,5XX BLOCK OF 4TH AVE W,-122.36194,47.6239495
2020-043790,1.26E+10,02/04/2020 4:40:00 PM,02/04/2020 4:44:00 PM,02/04/2020 5:24:12 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O2,SODO,S SPOKANE ST / 2ND AVE S,-122.33201,47.5714063
